category,primary_source,finance_operation_type,performance_source,sku_level_available,campaign_level_available,cash_cost,non_cash_cost,status,notes
CPC_MEDIA,Seller API /v1/finance/accrual/by-day,type_id 41 PayPerClick,statistics/expense «Расход»,no,yes (unit_number = campaign_id),yes,no,CONFIRMED_SPEND,"Сверено на 5 датах, расхождение 0,00 руб. Совпадение и по сумме дня, и покампанийно"
SEARCH_PROMO_CPO,Seller API /v1/finance/accrual/by-day,type_id 54 Promotion,statistics/expense кампании 14503166,no,yes (unit_number = 14503166),yes,no,CONFIRMED_SPEND,"accrued_category=NON_ITEM. 119,20 руб за заказ, 17 и 20 августа. Точно совпадает с Performance API"
FIRST_REVIEW_PROMO,Seller API /v1/finance/accrual/by-day,type_id 116 FirstCustomerReview,НЕТ в Performance API,yes (item_fees.sku),no,yes,no,CONFIRMED_SPEND,"НОВАЯ СТАТЬЯ, ранее не учитывалась. 4 471,30 руб за 12 проверенных дней против 14 299,85 руб CPC. Только в финансах, в рекламных отчётах не видна"
REF_VK_PLATFORM_FEE,Seller API accrual/by-day + Performance API,НЕ НАЙДЕН,statistics/expense = строк нет,no,no,no,no,CONFIRMED_ZERO_DIRECT_SPEND,"Проверено 12 дат, включая все 7 дат создания REF-кампаний. Ни одного начисления с unit_number = ID REF-кампании. Performance API ноль за весь август"
REF_VK_PRODUCT_COGS,Seller API /v3/posting/fbo/list financial_data,НЕ НАЙДЕН,НЕ ПРИМЕНИМО,"yes, если бы существовал",no,no,возможно,NOT_PROVEN,"За 15–22 августа 54 отправления, позиций с нулевой ценой нет. 6 позиций с payout=0 — это отменённые и ещё едущие, цены обычные. Признака бесплатной выдачи не найдено, но механизм не исключён"
REF_BLOGGER_PLATFORM_FEE,Seller API accrual/by-day + Performance API,НЕ НАЙДЕН,statistics/expense = строк нет,no,no,no,no,CONFIRMED_ZERO_DIRECT_SPEND,"То же основание, что и REF_VK"
REF_BLOGGER_PRODUCT_COGS,Seller API /v3/posting/fbo/list financial_data,НЕ НАЙДЕН,НЕ ПРИМЕНИМО,"yes, если бы существовал",no,no,возможно,NOT_PROVEN,"То же основание, что и REF_VK_PRODUCT_COGS"
BONUS_AD_SPEND,Performance API,НЕ ПРОВЕРЯЛОСЬ (нулевые значения),statistics/expense «Расход бонусов»,no,yes,no,yes,CONFIRMED_ZERO,"0,00 по всем кампаниям на всех 5 проверенных датах. Колонку хранить отдельно"
SUBSCRIPTION_AD_SPEND,Performance API,НЕ ПРОВЕРЯЛОСЬ (нулевые значения),statistics/expense «Расход с абонентского счета»,no,yes,no,yes,CONFIRMED_ZERO,То же
OTHER_MARKETING,Seller API /v1/finance/accrual/types,"типы 3,4,5,19,23,33,49,87,118",НЕ ПРИМЕНИМО,зависит от типа,no,yes,no,CONFIRMED_ZERO_IN_SAMPLE,"BrandCommission, BrandPromotion, BrandShelf, ExternalPromotion, InternetSiteAdvertising, Marketing, PremiumCashbackPromotion, SocialMediaAdvertising, LabelBrandVerified — ни один не встретился за 12 дней"
