gate,status,expected,actual,detail
P06 исторический CPC = канону,PASS,"82 604,23","82 604,23",type_id 41 в ozon_raw.RAW_OZON_FINANCE_ACCRUAL
P07 CPC по SKU = канону,PASS,"82 088,43","82 088,43",SUM(attributed_spend_rub) в RAW_OZON_ADS_SKU_DAILY
P08 строк начислений = канону,PASS,1702,1702,RAW_OZON_FINANCE_ACCRUAL
P09 тип 41 ↔ Performance,PASS,"0,00 разницы","0,00","82 604,23 против 82 604,23"
P10 тип 54 ↔ SEARCH_PROMO,PASS,"0,00 разницы","0,00","1 277,40 против 1 277,40"
P11 тип 116 = канону,PASS,"9 862,48","9 862,48",FirstCustomerReview
P12 расход архивных кампаний,PASS,"4 кампании, ~20 898","4 кампании, 20 898,32","по фактическим данным, а не по метаданным"
P13 нет выдуманной атрибуции,PASS,единственный статус,ATTRIBUTED_ACTUAL,"969 строк, один статус"
P14 COGS по effective-дате,PASS,0 пропусков,0,COGS_MISSING = 0 на всех продажах
P15 скан секретов,PASS,0,0,значений Api-Key и client_secret нет в репозитории и в load/
P16 нет deprecated endpoint,PASS,0,0,"transaction/list, transaction/totals, v2/posting/fbo не использовались"
§12 сверка канона: маркетинг,PASS,"93 744,11","93 744,11",CPC + SEARCH_PROMO + FirstCustomerReview совпали до копейки
§12 сверка канона: выручка,FAIL,"337 755,00","338 856,00","+1 101,00. Причина: в локальной сборке потерялась одна сделка 2026-08-05 sku 3892518031 на 965 руб. BigQuery согласуется с независимым price_history_from_transactions.csv"
§12 сверка канона: логистика,FAIL,"26 675,79","30 635,36","+3 959,57. Причина: локальный расчёт учитывал только услуги, привязанные к товару в отправлении; BigQuery считает все строки типов 32/29/98/59/12, включая не привязанные к товару"
§12 сверка канона: прочие расходы МП,FAIL,"120,00","4 423,63","+4 303,63. Та же причина: хранение и подобные сборы приходят как NON_ITEM и в локальном расчёте не попадали в портфель"
§12 сверка канона: прибыль до маркетинга,FAIL,"101 229,76","93 899,67","-7 330,09. Следствие трёх расхождений выше"
§12 сверка канона: прибыль после маркетинга,FAIL,"7 485,65","155,56","-7 330,09. Портфель фактически около нуля, а не +7,5 тыс"
