source_field,source_table,data_type,classification,target_entity,target_field,populated_25,rationale
marketplace,wb_raw.REF_SKU_MASTER,STRING,WB_SPECIFIC,evetis_ref.REF_SKU_CHANNEL_MAP,marketplace,25,"Значение WB на всех 25 строках. В общем справочнике становится частью ключа channel map, а не атрибутом товара"
nm_id,wb_raw.REF_SKU_MASTER,INT64,WB_SPECIFIC,evetis_ref.REF_SKU_CHANNEL_MAP,marketplace_sku,25,"Идентификатор товара на WB. В channel map хранится как marketplace_sku при marketplace=WB. Как имя колонки не годится: оно навязывает семантику WB всем площадкам"
internal_sku,wb_raw.REF_SKU_MASTER,STRING,SHARED_PRODUCT_ATTRIBUTE,evetis_ref.REF_PRODUCT_MASTER,internal_sku,25,"Внутренний артикул EVETIS. Единственный ключ, действительно независимый от площадки"
product_name_short,wb_raw.REF_SKU_MASTER,STRING,SHARED_PRODUCT_ATTRIBUTE,evetis_ref.REF_PRODUCT_MASTER,product_name,25,"Внутреннее короткое название товара. Не название карточки на площадке"
product_name_full,wb_raw.REF_SKU_MASTER,STRING,UNKNOWN,NOT_MIGRATED_PENDING_REVIEW,,25,"Требует проверки владельцем: если это заголовок карточки WB, поле WB_SPECIFIC и в общий слой не идёт. Если внутреннее полное наименование, то SHARED. Пока не переносится"
category,wb_raw.REF_SKU_MASTER,STRING,SHARED_PRODUCT_ATTRIBUTE,evetis_ref.REF_PRODUCT_MASTER,category,25,"Внутренняя категория EVETIS. Не путать с категорией площадки: у Ozon свой description_category_id, у WB свой wb_subject_id"
line,wb_raw.REF_SKU_MASTER,STRING,SHARED_PRODUCT_ATTRIBUTE,evetis_ref.REF_PRODUCT_MASTER,product_line,25,"Продуктовая линейка бренда. Свойство товара, не площадки"
product_type,wb_raw.REF_SKU_MASTER,STRING,SHARED_PRODUCT_ATTRIBUTE,evetis_ref.REF_PRODUCT_MASTER,product_type,25,"Тип продукта. Свойство товара"
is_bundle,wb_raw.REF_SKU_MASTER,BOOL,SHARED_PRODUCT_ATTRIBUTE,evetis_ref.REF_PRODUCT_MASTER,is_bundle,14,"Признак набора. Определяет способ расчёта себестоимости через REF_BUNDLE_COMPONENTS, одинаково на всех площадках"
status,wb_raw.REF_SKU_MASTER,STRING,UNKNOWN,NOT_MIGRATED_PENDING_REVIEW,,25,"Единственное значение на всех 25 строках. Неясно, статус товара в ассортименте EVETIS или статус карточки WB. Не переносится до уточнения"
active,wb_raw.REF_SKU_MASTER,BOOL,UNKNOWN,NOT_MIGRATED_PENDING_REVIEW,,25,"То же. Активность где именно: в ассортименте или на WB. На Ozon уже есть собственный assortment_status, смешивать нельзя"
wb_vendor_code,wb_raw.REF_SKU_MASTER,STRING,WB_SPECIFIC,wb_raw.REF_SKU_MASTER,,25,"Артикул продавца на WB. Остаётся в домене WB. При необходимости дублируется в channel map как vendor_code при marketplace=WB"
barcode,wb_raw.REF_SKU_MASTER,STRING,SHARED_PRODUCT_ATTRIBUTE,evetis_ref.REF_PRODUCT_MASTER,barcode,25,"Штрихкод физического товара. Свойство упаковки, не площадки. ОГОВОРКА: Ozon возвращает массив barcodes на товар, поэтому в общем слое допускается несколько значений на internal_sku"
wb_subject_id,wb_raw.REF_SKU_MASTER,STRING,WB_SPECIFIC,wb_raw.REF_SKU_MASTER,,25,"Предмет WB. Классификатор площадки. У Ozon свой description_category_id"
wb_subject_name,wb_raw.REF_SKU_MASTER,STRING,WB_SPECIFIC,wb_raw.REF_SKU_MASTER,,25,"То же"
brand,wb_raw.REF_SKU_MASTER,SHARED_PRODUCT_ATTRIBUTE,SHARED_PRODUCT_ATTRIBUTE,evetis_ref.REF_PRODUCT_MASTER,brand,25,"Бренд EVETIS. Свойство товара"
volume_ml,wb_raw.REF_SKU_MASTER,STRING,SHARED_PRODUCT_ATTRIBUTE,evetis_ref.REF_PRODUCT_MASTER,volume,25,"Объём. Физическое свойство. В целевой схеме предлагается разложить на volume_value NUMERIC и volume_unit STRING, сейчас строка"
include_in_pnl,wb_raw.REF_SKU_MASTER,BOOL,OPERATIONAL_FLAG,wb_raw.REF_SKU_MASTER,,25,"Флаг включения в отчётность. Операционное решение внутри домена WB. В общий слой не идёт: у Ozon может быть иной периметр"
include_in_ads_analysis,wb_raw.REF_SKU_MASTER,BOOL,OPERATIONAL_FLAG,wb_raw.REF_SKU_MASTER,,25,"То же. Рекламный периметр Ozon уже доказано отличается: 15 CPC-кампаний плюс SEARCH_PROMO"
include_in_supply_plan,wb_raw.REF_SKU_MASTER,BOOL,OPERATIONAL_FLAG,wb_raw.REF_SKU_MASTER,,25,"То же. Планирование поставок на FBO Ozon и на WB это разные процессы"
include_in_stock_alerts,wb_raw.REF_SKU_MASTER,BOOL,OPERATIONAL_FLAG,wb_raw.REF_SKU_MASTER,,25,"То же"
data_quality_status,wb_raw.REF_SKU_MASTER,STRING,OPERATIONAL_FLAG,wb_raw.REF_SKU_MASTER,,25,"Служебный признак качества строки в конвейере WB"
