id,obnaruzheno_msk,tema,istochnik_a,znachenie_a,istochnik_b,znachenie_b,status,kommentarij
D001,2026-08-30T21:24:28+03:00,Состав ассортимента,Ozon Seller API /v3/product/list,20 активных товаров,ozon_posle_28.08.xlsx (исторический),18 товаров,open,"Два неархивных товара отсутствуют в прошлом разборе: sku 3732933477 (набор увлажняющий) и sku 2969806788 (крем для лица увлажняющий). По ним нет ни маржи, ни кампании, ни внутреннего артикула"
D002,2026-08-31T15:50:00+03:00,Цена на полке,"Публичная карточка ozon.ru (полка, «с другими банками»)",крем руки 430 / сыворотка увл 483 / крем лицо акне 561 / набор руки+вишня 891,Sellmonitor price,"351,51 / 474,72 / 610,87 / 963,57",open,"Sellmonitor не совпадает ни с полкой, ни с ценой по карте. У набора SM выше полки (963,57 против 891). lastObservedAt у SM = 2026-08-29, данные на 2 дня старше. Вывод: Sellmonitor нельзя использовать как источник полки"
D003,2026-08-31T15:50:00+03:00,Цена продавца внутри одного ответа,Seller API /v5/product/info/prices → price,набор руки+вишня 1295,Seller API /v5/product/info/prices → marketing_seller_price,1288,open,"Расхождение 7 руб внутри одного объекта. marketing_seller_price совпадает с historical xlsx (1288). Надо определить, какое поле является базой комиссии, до расчёта маржи"
D004,2026-08-31T15:50:00+03:00,Себестоимость,BigQuery V_PRODUCT_COGS_EFFECTIVE,EVT-FC-ACNE-50 = 145; EVT-FC-MOIST-50 = 145,Seller API /v5/product/info/prices → price.net_price,150; 150,open,"Себестоимость, заведённая в кабинете Ozon, выше BigQuery на 5 руб по двум SKU. Править не надо, зафиксировано. Source of truth остаётся BigQuery"
D005,2026-08-31T15:50:00+03:00,Статус карточки,Seller API /v3/product/info/list → is_archived,2969806788: false,Sellmonitor currentStatuses,2969806788: archived,open,"Sellmonitor считает карточку архивной, Seller API — нет. Публичная карточка при этом редиректит на поиск. Для master catalog берём Seller API, статус = OUT_OF_STOCK"
D006,2026-08-31T15:50:00+03:00,Формат поля,Seller API /v3/product/info/list → price_indexes.color_index,COLOR_INDEX_RED,Seller API /v5/product/info/prices → price_indexes.color_index,RED,open,Один и тот же признак в двух endpoint назван по-разному. При ingestion нормализовать к одному виду
D007,2026-08-31T15:50:00+03:00,Контекст съёма полки,Публичная карточка через Playwright,"сессия залогинена как покупатель, ПВЗ Волгоград",Нейтральный анонимный съём,не выполнялся,open,"Полка на Ozon зависит от региона и может зависеть от аккаунта. Снятые значения корректны для этого контекста. Для автоматики нужен фиксированный регион и анонимная сессия, иначе цифры несопоставимы между замерами"
D008,2026-08-31T16:36:32+03:00,Статусы рекламных кампаний,Вводная владельца (сессия 2026-08-30),9 активных / 6 выключенных,Performance API GET /api/client/campaign,11 RUNNING / 4 INACTIVE,open,"32158051 «набор 4 шага» и 32158008 «набор 3 ед» по API RUNNING, а не выключены. Косвенно подтверждается историческим xlsx: за неделю «после» по ним есть расход 1807,8 и 718,9 руб. Вводная устарела, API — source of truth"
D009,2026-08-31T16:36:32+03:00,Полнота рекламного периметра,Наш список кампаний,15 кампаний,Performance API GET /api/client/campaign,"92 всего, 37 RUNNING",open,"Вне наших 15 работает ещё 26 кампаний: REF_VK 20, REF_BLOGGER 5, SEARCH_PROMO 1 (id 14503166, оплата CPO). Совпадает с блоком marketing_actions «Семплинг в Реф. Программе Ozon x VK Adblogger». Потенциальный неучтённый расход — проверить в статистике до расчёта портфельного итога"
D010,2026-08-31T16:36:32+03:00,Единицы измерения бюджета,"Performance API weeklyBudget, сырое значение",50000000000,Интерпретация как микрорубли (÷10^6),50 000 руб/нед,closed,"Все 15 значений после деления на 10^6 дают круглые суммы 2000–65000 руб, что и подтверждает гипотезу. Требует подтверждения сверкой с фактическим расходом из statistics. При этом expenseStrategy=DAILY_BUDGET у всех, но dailyBudget=0, а заполнен weeklyBudget — противоречие внутри одного объекта | ЗАКРЫТО: единицы доказаны спецификацией и сверкой, см. performance_money_units.csv"
D011,2026-08-31T17:20:00+03:00,Рекламный периметр: SEARCH_PROMO,Наш периметр 15 CPC-кампаний,SEARCH_PROMO не учитывалась,"Performance API statistics/expense, август","кампания 14503166 «Продвижение в поиске — все товары», расход 238,40 руб (2 дня по 119,20)",open,"Оплата за заказ, CPO. Расход возникает только в дни с заказом. За август 2 заказа по 1192 руб. Показы идут ежедневно. Должно входить в TOTAL_MARKETING_SPEND, но НЕ в CPC_AD_SPEND"
D012,2026-08-31T17:20:00+03:00,REF_VK и REF_BLOGGER,25 кампаний в статусе RUNNING,ожидался расход,Performance API statistics/expense и /daily за 01–30 августа,"ноль строк, расход не возвращается",closed,"Через Performance API денег не списывают. В начислениях за 2026-08-28 маркетинговых типов (Marketing, Promotion, ExternalPromotion, SocialMediaAdvertising) тоже нет — только type_id 41 «Оплата за клик». Не закрыто: проверить начисления за дни семплинга по датам из marketing_actions | ЗАКРЫТО 2026-08-31: проверено 12 дат, включая все 7 дат создания REF-кампаний. Ни одного начисления с unit_number = ID REF-кампании, ни одного маркетингового типа кроме 54. Вердикт CONFIRMED_ZERO_DIRECT_SPEND по деньгам; товарная себестоимость NOT_PROVEN"
