dataset,endpoint,requested_start,requested_end,max_window_days,chunk_size_days,pagination,expected_calls,rate_limit_strategy,retry_strategy,dedupe_key,raw_file_pattern,target_table_future
finance_accrual_daily,POST /v1/finance/accrual/by-day,2026-06-01,2026-08-31,1,1,last_id,"92 + пагинация, оценка ~112","пауза 1,5 с между страницами и 2 с между днями","экспоненциальный backoff 3/6/12/24/48 с, до 5 попыток на 429",accrual_id,raw/api/accrual_by_day_<YYYYMMDD>.json,RAW_OZON_FINANCE_ACCRUAL_DAILY
finance_accrual_postings,POST /v1/finance/accrual/postings,2026-06-01,2026-08-31,—,батч по 50 posting_number,нет,"зависит от числа отправлений, оценка ~10 при ~500 заказах",пауза 2 с между батчами,тот же backoff,posting_number + sku + type_id + accrual_date,raw/api/accrual_postings_<batch>.json,RAW_OZON_FINANCE_ACCRUAL_POSTINGS
finance_types,POST /v1/finance/accrual/types,2026-06-01,2026-08-31,—,—,нет,1,вызывать один раз за прогон,"backoff обязателен, тип уже отдавал 429",id,raw/api/accrual_types_<YYYYMMDD>.json,REF_OZON_ACCRUAL_TYPES
finance_cash_flow,POST /v1/finance/cash-flow-statement/list,2026-06-01,2026-08-31,не проверен,31,page + page_size,"3 периода + страницы, оценка ~6",пауза 2 с,тот же backoff,период begin+end,raw/api/cash_flow_<YYYYMM>.json,RAW_OZON_FINANCE_CASHFLOW
finance_realization,POST /v2/finance/realization,2026-06-01,2026-08-31,1 месяц,1 месяц,нет,"3 (июнь, июль, август)",пауза 2 с,тот же backoff,month + year + rowNumber,raw/api/realization_<YYYYMM>.json,RAW_OZON_FINANCE_REALIZATION
orders_fbo,POST /v3/posting/fbo/list,2026-06-01,2026-08-31,не проверен,31,"cursor + has_next, limit максимум 100",оценка ~10 при ~500 заказах,пауза 2 с,тот же backoff,posting_number,raw/api/posting_fbo_<YYYYMM>_<n>.json,RAW_OZON_POSTINGS_FBO
returns,POST /v1/returns/list,2026-06-01,2026-08-31,не проверен,весь период,last_id + has_next,оценка ~5,пауза 2 с,тот же backoff,id,raw/api/returns_<n>.json,RAW_OZON_RETURNS
analytics_sales,POST /v1/analytics/data,2026-06-01,2026-08-31,ЖЁСТКО 3 месяца от текущей даты,31,limit + offset,"3 периода + страницы, оценка ~9",пауза 2 с,тот же backoff,sku + дата,raw/api/analytics_data_<YYYYMM>.json,RAW_OZON_ANALYTICS_SALES
prices_snapshot,POST /v5/product/info/prices,снимок,снимок,—,—,cursor,1,—,тот же backoff,offer_id + момент снимка,raw/api/prices_<YYYYMMDD>.json,RAW_OZON_PRICES_SNAPSHOT
stocks_snapshot,POST /v1/analytics/stocks,снимок,снимок,—,—,нет,1,—,тот же backoff,sku + warehouse_id + дата,raw/api/stocks_<YYYYMMDD>.json,RAW_OZON_STOCKS_SNAPSHOT
perf_campaigns,GET /api/client/campaign,снимок,снимок,—,—,нет,1,"токен живёт 1800 с, обновлять",повтор после обновления токена,campaign_id + момент снимка,raw/api/perf_campaigns_<YYYYMMDD>.json,RAW_OZON_ADS_CAMPAIGNS
perf_expense_daily,GET /api/client/statistics/expense,2026-06-01,2026-08-31,"не проверен, брать сутками",1,"нет, отдаёт все кампании сразу",92,"пауза 2 с, токен обновлять каждые ~25 мин",повтор после обновления токена,campaign_id + дата,raw/api/perf_expense_<YYYYMMDD>.csv,RAW_OZON_ADS_EXPENSE_DAILY
perf_daily_stats,GET /api/client/statistics/daily,2026-06-01,2026-08-31,62 дня по документации,31,нет,3,пауза 2 с,повтор после обновления токена,campaign_id + дата,raw/api/perf_daily_<YYYYMM>.csv,RAW_OZON_ADS_DAILY
perf_campaign_products,GET /api/client/campaign/{id}/v2/products,снимок,снимок,—,—,page + pageSize,15 (по числу CPC-кампаний),пауза 1 с,повтор после обновления токена,campaign_id + sku + момент,raw/api/perf_products_<campaign>.json,RAW_OZON_ADS_CAMPAIGN_SKU
