metric_group,metric,primary_source,endpoint_or_tool,fallback_source,freshness,historical_depth,pagination,natural_key,timezone,deprecated,tested,notes
cogs,product_cogs_rub,BigQuery,evetis_ref.V_PRODUCT_COGS_EFFECTIVE,—,по мере изменения справочника,"вся история, effective_from/to",—,internal_sku + дата,Europe/Moscow (бизнес-дата),no,yes,20 из 20 SKU разрешаются. Fail-closed
mapping,ozon_sku ↔ internal_sku,"BigQuery evetis_ref (целевой) / wb_raw.REF_SKU_MASTER (текущий, НЕ СООТВЕТСТВУЕТ)",evetis_ref.REF_SKU_CHANNEL_MAP (проектируется),—,при изменении каталога,—,cursor,offer_id,—,no,yes,"НАРУШАЕТ Marketplace Isolation (D024): чтение из wb_raw домену Ozon запрещено. Целевой источник — evetis_ref.REF_SKU_CHANNEL_MAP. Проверено: offer_id == nm_id на 20 из 20, но это операционное соглашение EVETIS, а не факт площадки"
catalog,"product_id, sku, offer_id, name, is_archived",Seller API,POST /v3/product/list + /v3/product/info/list,—,1/сутки,снимок,last_id / список id,sku,—,no,yes,total=20
stock,"present, reserved",Seller API,POST /v3/product/info/list → stocks,POST /v1/analytics/stocks,1/час,снимок,—,sku + source,—,no,yes,"analytics/stocks даёт ещё turnover_grade, idc, ads, кластер, 20 строк на 3 SKU"
stock,"turnover, idc, days_without_sales",Seller API,POST /v1/analytics/stocks,—,1/сутки,снимок,—,sku + warehouse_id,—,no,yes,"31 поле, разрез по складам и кластерам"
seller_price,"price, old_price, min_price",Seller API,POST /v5/product/info/prices,POST /v3/product/info/list,1/час,снимок,cursor,offer_id,—,no,yes,Отдаёт цену и для товаров без остатка. См. расхождение D003 price vs marketing_seller_price
seller_price,net_price (себестоимость в кабинете),Seller API,POST /v5/product/info/prices → price.net_price,—,1/сутки,снимок,cursor,offer_id,—,no,yes,Только для сверки. Source of truth по себестоимости — BigQuery. См. D004
price_index,"color_index, external min_price, index_value",Seller API,POST /v5/product/info/prices → price_indexes,—,1/сутки,снимок,cursor,offer_id,—,no,yes,Формат отличается от /v3 (RED против COLOR_INDEX_RED). См. D006
commission,"sales_percent, логистика, возврат, эквайринг",Seller API,"POST /v5/product/info/prices → commissions, acquiring",/v3/product/info/list → commissions,1/сутки,снимок,cursor,offer_id + схема,—,no,yes,sales_percent_fbo=52 подтверждён
promo,"участие в акциях, даты, значение",Seller API,POST /v5/product/info/prices → marketing_actions,—,1/сутки,снимок,cursor,offer_id + title акции,UTC (date_from/date_to),no,yes,ozon_actions_exist=false по проверенным SKU
public_shelf_price,"цена на полке, цена с картой",Публичная карточка ozon.ru,"Playwright, [data-widget=webPrice]",—,1/час,только текущее значение,—,ozon_sku + регион + момент,Europe/Moscow (момент съёма),no,yes,"ЗАВИСИТ ОТ РЕГИОНА И СЕССИИ. См. D007. Sellmonitor как источник полки отвергнут, см. D002"
spp,размер СПП,Расчёт,(seller_api_price - public_shelf_price) / seller_api_price,—,1/час,—,—,ozon_sku + момент,Europe/Moscow,no,yes,"На 4 SKU: 31,2–57,2%"
finance,"начисления, детализация по услугам",Seller API,POST /v1/finance/accrual/by-day,POST /v1/finance/accrual/postings,1/сутки,не проверена,last_id (cursor),accrual_id,"дата без tz, бизнес-дата",no,yes,27 начислений за 2026-08-28. ЗАМЕНА для /v3/finance/transaction/list
