gate_id,gate,status,detail
A01,Ozon design не читает wb_raw,PASS,строк таблиц с wb_raw: 0
A02,Ozon design не читает wb_mart,PASS,строк таблиц с wb_mart: 0
A03,общие зависимости только через evetis_ref,PASS,"строк с evetis_ref: 2, посторонних общих зависимостей нет"
A04,Ozon пишет только в ozon_*,PASS,ни одна проектная таблица Ozon не пишет в WB
A05,запись WB не затронута,PASS,"wb_raw.REF_SKU_MASTER не изменялся, DDL не выполнялся, IAM не менялся"
A06,идентификаторы Ozon заданы явно,PASS,"20 строк OZON, у всех заполнены marketplace_sku и offer_id"
A07,нет неявного join offer_id = nm_id,PASS,"строк OZON, где marketplace_sku взят из WB nm_id: 0"
A08,в общем мастере нет операционных флагов WB,PASS,"флагов WB в REF_PRODUCT_MASTER: 0, WB-специфичных полей: 0"
A09,ACTUAL и FORWARD разделены,PASS,"14 метрик, у каждой заданы оба источника"
A10,нерешённое остаётся NULL,PASS,"строк NOT_PROVEN: 2, из них обнулённых: 0"
A11,нет выдуманной атрибуции,PASS,уровни атрибуции: {'SKU_ACTUAL'}; пропорциональное распределение не применялось
A12,скан секретов чист,PASS,"секретов EVETIS: 0; JWT вне вендорских спецификаций: 0. 21 совпадения в публичных swagger Ozon — это плейсхолдеры из их же документации вида eyJ...WyJFTWhVVU...qTz2XXZBv41h4 с многоточием в середине, не действительные токены и не наши. Эти файлы к тому же в списке «не коммитить»"
